,ligacao_consumidor,nota_consumidor,custo_do_produto,compras_anteriores,desconto_oferecido,peso_em_gms,bloco_deposito_A,bloco_deposito_B,bloco_deposito_C,bloco_deposito_D,bloco_deposito_F,forma_envio_Flight,forma_envio_Road,forma_envio_Ship,genero_consumidor_F,genero_consumidor_M,importancia_produto_high,importancia_produto_low,importancia_produto_medium
678,3,3,117,3,56,1618,0,0,0,1,0,0,1,0,0,1,0,0,1
9524,3,5,258,3,5,4494,1,0,0,0,0,0,0,1,1,0,0,1,0
1160,4,5,127,8,39,1411,1,0,0,0,0,0,0,1,0,1,0,1,0
5224,3,1,221,3,1,4948,0,0,1,0,0,0,0,1,0,1,1,0,0
954,3,1,214,2,50,2720,0,0,0,1,0,1,0,0,1,0,0,1,0
8988,5,2,270,3,3,5266,0,0,0,1,0,0,0,1,0,1,0,1,0
47,5,1,160,2,32,1576,0,0,0,0,1,0,0,1,0,1,0,1,0
9941,5,3,263,5,6,1192,0,0,0,0,1,0,0,1,1,0,0,0,1
4222,5,4,168,4,5,5580,0,0,1,0,0,0,1,0,0,1,0,0,1
3678,3,3,158,3,2,5205,0,0,0,1,0,0,1,0,1,0,0,1,0
9310,4,1,213,5,10,5492,0,0,1,0,0,0,1,0,0,1,0,1,0
4275,4,4,159,3,9,4265,0,1,0,0,0,0,0,1,0,1,0,1,0
7352,5,1,163,3,1,5194,1,0,0,0,0,0,0,1,1,0,0,0,1
3586,4,2,210,2,3,5876,0,0,1,0,0,0,0,1,1,0,1,0,0
1520,3,3,205,2,2,2910,1,0,0,0,0,1,0,0,1,0,0,0,1
7386,5,5,207,2,8,5066,0,0,0,1,0,0,1,0,0,1,1,0,0
4764,3,4,191,2,8,5667,0,0,0,1,0,0,0,1,0,1,0,0,1
4975,4,2,194,8,10,5995,0,0,0,0,1,0,0,1,0,1,0,0,1
4102,4,4,170,5,5,4823,0,0,1,0,0,0,1,0,0,1,0,1,0
10091,4,2,201,2,6,5729,0,0,0,0,1,0,0,1,0,1,0,0,1
2548,3,1,143,6,2,1323,0,0,1,0,0,0,0,1,0,1,0,0,1
6387,4,1,200,2,5,5249,0,1,0,0,0,0,0,1,1,0,0,0,1
5644,4,2,192,3,3,4130,0,0,1,0,0,0,0,1,1,0,0,1,0
8757,5,3,197,5,1,5581,0,1,0,0,0,0,1,0,1,0,0,1,0
9117,3,3,209,3,5,5831,0,1,0,0,0,0,0,1,1,0,0,0,1
10521,3,2,221,2,9,4466,0,1,0,0,0,0,0,1,0,1,0,0,1
8,3,4,150,3,11,1861,1,0,0,0,0,1,0,0,1,0,0,1,0
4667,3,3,149,2,3,4527,0,0,0,0,1,1,0,0,0,1,0,0,1
10935,4,2,229,6,5,1689,0,1,0,0,0,0,1,0,1,0,0,0,1
2565,3,2,198,3,15,3250,0,1,0,0,0,0,0,1,0,1,0,1,0
1702,5,2,188,3,50,3992,0,0,1,0,0,0,0,1,1,0,0,0,1
198,2,3,142,3,38,7640,0,0,0,1,0,0,0,1,1,0,0,0,1
2346,3,2,273,3,12,2154,0,0,0,1,0,0,0,1,1,0,0,1,0
517,5,5,262,2,62,3744,0,0,0,0,1,0,0,1,1,0,0,0,1
8658,6,1,281,4,2,1592,0,0,0,1,0,0,0,1,0,1,0,0,1
5292,3,2,205,2,6,4853,0,0,0,1,0,0,0,1,0,1,0,1,0
7982,4,4,153,4,5,5162,1,0,0,0,0,0,0,1,0,1,0,1,0
993,4,3,210,3,6,2568,0,1,0,0,0,0,0,1,1,0,0,0,1
2334,5,1,285,5,51,2063,0,0,0,1,0,1,0,0,0,1,0,1,0
4945,5,1,240,3,10,5277,0,0,0,0,1,1,0,0,0,1,1,0,0
7085,6,1,260,3,1,5134,0,0,0,0,1,0,0,1,0,1,0,0,1
8932,6,3,258,4,9,1924,0,0,1,0,0,0,0,1,0,1,0,0,1
2433,3,2,245,3,13,3775,0,1,0,0,0,0,0,1,0,1,0,0,1
2542,2,5,190,8,11,2976,0,0,1,0,0,0,0,1,0,1,0,0,1
9853,4,3,250,6,2,4246,0,0,0,0,1,0,1,0,0,1,0,0,1
3605,4,1,276,2,3,1966,0,0,0,0,1,0,0,1,0,1,0,0,1
9723,3,2,140,3,8,5724,0,1,0,0,0,1,0,0,0,1,0,0,1
2719,3,2,134,2,45,1946,0,0,0,0,1,0,1,0,1,0,0,0,1
1390,4,5,186,3,16,2693,0,0,1,0,0,0,0,1,1,0,0,1,0
2190,4,5,230,2,38,2890,0,0,0,1,0,1,0,0,1,0,0,1,0
4513,4,4,197,5,8,4793,0,0,0,0,1,0,1,0,0,1,0,1,0
1518,3,5,157,4,26,1969,0,0,0,1,0,1,0,0,0,1,0,0,1
10602,5,2,176,4,1,5810,0,0,0,1,0,0,0,1,0,1,0,1,0
9183,5,1,247,5,10,1562,0,1,0,0,0,1,0,0,0,1,0,1,0
225,5,4,255,4,38,2771,0,1,0,0,0,0,0,1,1,0,0,0,1
8018,4,1,226,5,6,1510,1,0,0,0,0,0,0,1,0,1,0,0,1
4031,6,5,98,3,8,5946,0,0,0,0,1,0,0,1,1,0,0,1,0
7683,4,3,262,2,3,4064,0,1,0,0,0,1,0,0,1,0,0,0,1
8865,2,3,258,5,6,1727,0,1,0,0,0,0,0,1,1,0,0,1,0
6390,4,5,219,2,4,4069,0,0,0,1,0,0,0,1,0,1,1,0,0
371,4,5,159,3,18,1808,0,0,0,0,1,0,0,1,0,1,0,0,1
4395,4,3,149,3,3,4781,0,1,0,0,0,1,0,0,1,0,0,0,1
8463,4,1,202,2,10,5428,0,1,0,0,0,0,0,1,0,1,0,0,1
2723,4,2,204,4,35,2725,0,0,0,0,1,0,1,0,1,0,0,1,0
4498,3,4,269,2,6,5951,0,0,1,0,0,0,1,0,0,1,0,0,1
3217,4,1,164,4,6,4432,0,0,0,0,1,0,0,1,0,1,0,1,0
3957,3,3,250,3,5,4625,0,1,0,0,0,0,1,0,1,0,0,1,0
4035,3,3,150,2,6,4170,0,1,0,0,0,0,0,1,0,1,0,0,1
10619,4,1,270,2,4,4369,0,0,0,0,1,0,0,1,0,1,0,1,0
8245,3,5,174,2,4,5692,0,0,0,0,1,0,0,1,1,0,0,1,0
414,2,1,218,2,15,2745,0,0,0,1,0,1,0,0,0,1,0,1,0
3440,4,5,178,2,5,5403,1,0,0,0,0,1,0,0,0,1,1,0,0
10800,5,5,253,6,1,1300,0,0,0,1,0,0,1,0,1,0,0,1,0
1784,5,3,208,4,10,2419,1,0,0,0,0,1,0,0,0,1,0,0,1
10801,5,3,234,5,7,1691,0,0,0,0,1,0,1,0,0,1,0,1,0
6840,4,5,142,2,2,4472,0,0,0,1,0,0,1,0,0,1,0,1,0
1196,4,2,187,4,49,3225,1,0,0,0,0,0,0,1,0,1,0,0,1
69,3,5,206,3,39,2929,0,1,0,0,0,0,0,1,0,1,0,0,1
4164,5,4,157,4,9,4840,0,0,0,1,0,0,0,1,0,1,0,1,0
4316,3,2,259,8,3,4390,1,0,0,0,0,0,0,1,0,1,1,0,0
7242,6,3,262,6,5,4506,0,0,0,1,0,0,1,0,0,1,1,0,0
5849,4,3,248,2,2,4701,0,0,0,0,1,0,0,1,0,1,0,0,1
364,6,2,146,3,62,1936,0,0,1,0,0,0,0,1,1,0,0,1,0
8299,5,1,103,5,3,4966,0,0,0,0,1,0,0,1,0,1,0,1,0
6671,4,5,224,6,5,5659,0,0,0,0,1,0,0,1,1,0,1,0,0
411,3,4,200,2,14,3528,0,1,0,0,0,1,0,0,0,1,0,0,1
4435,3,3,261,4,7,4542,0,0,0,0,1,0,0,1,1,0,0,0,1
5840,5,2,249,6,8,5633,1,0,0,0,0,0,0,1,0,1,0,1,0
10355,3,5,171,3,7,5318,0,0,0,0,1,0,0,1,1,0,0,0,1
9177,3,4,179,2,5,1340,0,1,0,0,0,1,0,0,0,1,0,0,1
5905,4,5,143,2,1,5836,0,0,0,0,1,1,0,0,0,1,0,1,0
3233,2,5,159,3,5,4190,0,0,0,0,1,0,0,1,0,1,0,1,0
130,3,5,179,2,17,1364,0,0,1,0,0,0,1,0,1,0,0,1,0
302,3,4,241,2,57,3671,1,0,0,0,0,0,0,1,0,1,0,1,0
2866,3,3,274,2,59,3436,0,0,1,0,0,0,1,0,1,0,0,0,1
6731,5,2,246,3,10,5110,0,0,0,0,1,0,0,1,1,0,0,0,1
5712,6,5,263,7,7,5216,0,0,0,1,0,0,0,1,0,1,1,0,0
8591,4,4,144,8,6,4390,0,0,0,0,1,0,0,1,0,1,0,0,1
6918,6,1,254,4,6,1928,0,0,0,1,0,0,0,1,1,0,0,0,1
4204,4,5,168,3,4,4759,0,0,1,0,0,0,0,1,1,0,1,0,0
235,2,2,134,3,38,1352,0,0,0,0,1,0,0,1,0,1,0,1,0
7673,4,5,206,4,1,1593,0,0,0,0,1,1,0,0,1,0,0,0,1
2340,5,4,263,3,59,3978,0,0,0,1,0,1,0,0,0,1,0,0,1
1232,4,2,166,3,5,1610,1,0,0,0,0,1,0,0,0,1,0,1,0
4341,5,3,260,2,10,5633,0,1,0,0,0,0,0,1,0,1,0,1,0
4282,3,1,142,2,5,4728,0,0,1,0,0,0,0,1,1,0,0,1,0
4958,5,4,250,6,1,4343,1,0,0,0,0,0,0,1,1,0,0,1,0
10718,5,2,246,5,4,1072,1,0,0,0,0,0,0,1,1,0,0,1,0
9068,5,5,231,2,6,5862,1,0,0,0,0,0,0,1,1,0,0,0,1
10794,5,5,224,5,7,1505,0,0,0,1,0,0,0,1,1,0,0,1,0
4319,3,5,133,3,4,5902,0,0,0,0,1,0,0,1,1,0,0,0,1
8991,3,4,236,4,9,4744,0,1,0,0,0,0,0,1,1,0,1,0,0
5500,6,4,304,4,7,1226,0,0,1,0,0,0,0,1,0,1,0,1,0
1370,5,3,199,4,24,3473,1,0,0,0,0,1,0,0,1,0,0,1,0
3937,5,3,248,2,6,5863,0,0,0,0,1,0,0,1,1,0,0,1,0
8138,3,4,263,3,2,5741,1,0,0,0,0,0,0,1,1,0,0,0,1
730,4,5,264,3,16,2245,0,0,1,0,0,0,0,1,0,1,0,0,1
4651,3,2,193,3,7,5224,0,0,0,0,1,0,1,0,1,0,0,1,0
340,2,5,255,5,53,3775,0,0,1,0,0,0,0,1,1,0,0,0,1
6750,2,4,156,3,8,5668,0,0,0,1,0,0,0,1,1,0,0,0,1
10183,5,3,233,5,3,1398,0,0,0,0,1,0,0,1,1,0,0,0,1
7584,3,5,146,5,3,5489,0,0,0,1,0,0,0,1,1,0,0,1,0
3231,2,3,140,3,2,4691,0,1,0,0,0,0,0,1,1,0,0,1,0
6003,6,5,295,4,2,1981,0,1,0,0,0,0,1,0,0,1,0,0,1
6699,5,2,173,2,10,4741,0,1,0,0,0,0,1,0,1,0,1,0,0
6061,3,5,271,2,7,4958,0,0,0,0,1,0,0,1,0,1,0,0,1
10095,4,5,243,3,9,5263,0,1,0,0,0,0,0,1,0,1,0,1,0
2657,3,4,272,3,44,2548,0,0,0,0,1,0,0,1,0,1,0,1,0
6153,5,4,269,2,2,5962,0,1,0,0,0,0,1,0,1,0,0,0,1
910,4,2,274,10,29,2949,0,0,1,0,0,0,0,1,1,0,0,0,1
2396,3,2,232,3,64,3131,1,0,0,0,0,0,0,1,1,0,0,1,0
2526,4,1,252,3,30,2669,0,0,0,1,0,0,0,1,1,0,0,0,1
9199,4,1,240,4,10,5965,0,0,0,0,1,0,0,1,0,1,0,1,0
1881,3,1,198,2,49,3573,0,1,0,0,0,0,0,1,1,0,0,0,1
3522,5,3,181,4,2,5332,0,0,0,1,0,0,0,1,1,0,0,1,0
8237,6,1,217,4,3,5571,0,0,0,0,1,0,0,1,0,1,0,0,1
6972,3,4,150,3,5,4950,0,0,0,1,0,0,1,0,1,0,0,1,0
3251,6,5,189,2,4,5898,0,0,0,0,1,0,0,1,0,1,1,0,0
9959,5,5,230,5,8,1067,0,0,0,0,1,0,0,1,1,0,0,1,0
1377,4,3,258,2,11,2252,0,1,0,0,0,1,0,0,0,1,1,0,0
2938,4,5,156,5,55,1619,0,0,1,0,0,0,0,1,1,0,1,0,0
4009,5,1,185,2,10,5973,0,0,0,0,1,0,0,1,1,0,0,0,1
1173,4,3,171,6,9,1909,0,1,0,0,0,0,0,1,1,0,0,0,1
9940,5,5,251,5,10,1683,0,0,1,0,0,0,0,1,1,0,0,0,1
1027,3,1,146,3,16,1714,0,0,0,0,1,0,0,1,0,1,0,0,1
1310,6,2,142,3,54,1332,1,0,0,0,0,0,0,1,1,0,0,1,0
560,3,1,185,2,34,3299,1,0,0,0,0,1,0,0,1,0,0,0,1
2171,4,4,150,4,5,1263,0,0,0,0,1,0,1,0,0,1,0,1,0
10711,4,3,263,6,10,1345,0,0,0,0,1,0,0,1,0,1,0,0,1
6287,5,2,254,5,6,1002,0,0,0,0,1,0,1,0,0,1,0,0,1
9615,3,2,198,4,3,4172,0,1,0,0,0,0,0,1,1,0,0,1,0
443,4,4,207,2,35,2596,0,0,0,0,1,0,0,1,0,1,0,0,1
9438,6,4,205,4,10,1974,0,0,0,1,0,0,1,0,1,0,0,1,0
84,4,5,197,2,40,2710,0,0,0,1,0,0,0,1,1,0,0,0,1
10889,5,5,243,2,5,4709,0,0,0,0,1,0,0,1,1,0,0,0,1
9119,4,1,225,2,5,5714,0,0,0,0,1,0,0,1,0,1,0,0,1
9739,3,4,143,3,10,5261,0,0,0,0,1,1,0,0,0,1,0,1,0
6847,4,1,172,3,10,5106,0,0,0,0,1,1,0,0,1,0,0,0,1
2812,3,2,173,3,37,1990,0,0,1,0,0,0,0,1,1,0,0,0,1
8847,4,3,224,3,6,5054,0,1,0,0,0,0,0,1,1,0,0,0,1
10887,4,1,275,3,7,5382,0,1,0,0,0,0,0,1,1,0,0,0,1
7847,4,5,177,3,7,4243,0,0,0,0,1,0,0,1,1,0,0,0,1
1974,5,3,242,3,58,3411,0,0,0,1,0,0,0,1,0,1,0,1,0
2833,4,1,165,4,34,1831,0,0,0,0,1,0,0,1,1,0,0,0,1
4663,5,1,233,4,2,4615,0,0,0,0,1,1,0,0,0,1,1,0,0
1209,5,1,238,3,32,3832,0,1,0,0,0,0,1,0,0,1,0,1,0
2887,3,1,164,2,39,1532,0,0,0,0,1,1,0,0,1,0,0,1,0
5544,5,2,180,3,1,4655,0,0,0,1,0,0,0,1,0,1,0,0,1
9323,4,2,262,3,6,5381,0,0,0,0,1,1,0,0,0,1,0,1,0
9879,6,3,245,4,3,1982,0,1,0,0,0,1,0,0,1,0,0,1,0
9046,4,4,248,3,10,4532,0,0,1,0,0,1,0,0,1,0,1,0,0
1975,3,1,187,2,56,3774,0,0,0,0,1,0,0,1,0,1,1,0,0
10945,5,2,257,6,3,1379,0,0,0,0,1,0,1,0,0,1,0,1,0
7218,5,5,262,5,9,1400,0,0,0,1,0,0,0,1,0,1,0,1,0
3909,2,1,271,2,7,5875,0,1,0,0,0,0,0,1,0,1,0,1,0
534,3,2,245,3,61,2188,0,0,0,1,0,0,1,0,1,0,0,1,0
8669,4,4,189,2,3,5837,0,0,0,0,1,0,0,1,0,1,0,0,1
4635,5,2,272,2,1,5412,0,1,0,0,0,0,1,0,1,0,0,1,0
5014,6,2,254,4,4,1392,0,0,1,0,0,0,0,1,0,1,0,1,0
10986,4,5,255,5,5,1458,0,0,0,1,0,0,0,1,0,1,0,0,1
1133,4,2,227,2,35,3583,0,0,0,0,1,0,0,1,0,1,1,0,0
1551,3,3,246,3,45,3945,0,1,0,0,0,0,0,1,1,0,0,0,1
10056,4,5,160,3,9,5799,0,0,0,1,0,0,0,1,1,0,0,1,0
6688,3,1,236,6,10,4858,0,0,1,0,0,0,1,0,1,0,0,0,1
5934,3,4,263,6,3,4429,0,0,0,1,0,0,0,1,0,1,1,0,0
9027,3,4,156,3,4,4628,0,1,0,0,0,0,1,0,0,1,0,1,0
9771,3,5,211,2,5,5877,0,1,0,0,0,0,0,1,1,0,0,1,0
269,4,5,208,3,23,2056,0,0,0,0,1,1,0,0,0,1,0,0,1
661,5,3,146,4,5,1718,0,0,0,0,1,0,1,0,0,1,0,1,0
9884,6,1,259,4,4,1198,1,0,0,0,0,0,0,1,1,0,0,1,0
7251,3,1,190,3,1,5065,0,1,0,0,0,0,1,0,1,0,0,1,0
7622,3,5,266,2,3,5195,1,0,0,0,0,0,0,1,1,0,1,0,0
2868,3,2,125,3,12,1212,0,0,0,1,0,0,1,0,1,0,0,0,1
7356,3,1,201,3,6,4953,0,0,0,1,0,0,0,1,1,0,0,1,0
9465,5,1,207,3,1,4112,0,1,0,0,0,1,0,0,1,0,0,1,0
2035,5,2,142,2,55,1758,0,0,0,0,1,0,1,0,1,0,0,1,0
9863,5,2,211,3,8,4962,0,0,0,0,1,1,0,0,1,0,0,0,1
9664,2,5,181,5,5,1043,0,0,1,0,0,0,0,1,1,0,0,0,1
7723,6,1,293,4,10,1534,0,0,0,0,1,0,0,1,1,0,0,1,0
1933,4,2,219,3,2,3402,0,0,0,0,1,1,0,0,0,1,0,1,0
3338,3,4,255,2,7,4332,1,0,0,0,0,0,0,1,1,0,0,0,1
8886,7,3,305,4,5,1198,0,0,0,1,0,0,1,0,1,0,0,0,1
9555,3,3,229,3,8,4549,0,1,0,0,0,0,0,1,1,0,0,0,1
5753,3,4,239,8,4,4192,0,0,0,0,1,1,0,0,0,1,1,0,0
1948,4,4,170,4,39,1868,0,0,1,0,0,0,0,1,0,1,0,1,0
10476,4,2,223,5,8,1559,0,0,0,1,0,0,0,1,1,0,0,0,1
6912,5,1,251,5,7,1924,0,0,0,1,0,0,0,1,1,0,0,1,0
3939,4,5,139,3,5,5126,0,1,0,0,0,0,0,1,0,1,0,0,1
205,2,3,145,3,24,7588,0,0,0,0,1,0,0,1,1,0,0,0,1
2235,3,1,178,3,36,1297,0,1,0,0,0,0,0,1,1,0,1,0,0
5007,3,3,156,7,2,5467,0,1,0,0,0,0,0,1,0,1,0,0,1
3369,3,3,249,5,9,1752,0,1,0,0,0,0,0,1,1,0,0,0,1
6016,5,3,249,4,1,1014,0,0,1,0,0,0,1,0,0,1,0,0,1
322,3,3,150,3,46,1040,0,0,1,0,0,0,0,1,0,1,0,1,0
9670,4,2,258,5,1,1920,0,0,1,0,0,0,0,1,0,1,0,0,1
4273,5,2,196,3,6,4257,0,0,0,0,1,0,0,1,1,0,0,0,1
7796,4,4,251,2,2,4800,1,0,0,0,0,0,1,0,0,1,0,1,0
5529,5,3,237,5,4,1733,0,1,0,0,0,0,0,1,1,0,0,0,1
8722,3,4,177,3,1,4965,0,0,1,0,0,0,0,1,1,0,0,0,1
9679,5,2,243,5,4,1013,0,0,0,0,1,0,0,1,1,0,0,0,1
2764,5,4,177,4,48,1920,0,0,1,0,0,0,0,1,0,1,0,0,1
9998,5,3,187,3,2,5967,1,0,0,0,0,1,0,0,0,1,0,1,0
7313,4,4,253,2,5,5624,0,0,0,0,1,0,0,1,1,0,0,0,1
1736,6,1,278,2,12,2112,1,0,0,0,0,0,0,1,1,0,0,0,1
858,4,3,119,5,5,1841,0,0,0,1,0,0,0,1,0,1,0,0,1
4130,6,3,100,4,3,5756,1,0,0,0,0,0,0,1,0,1,0,1,0
7502,5,1,270,5,6,1836,1,0,0,0,0,0,0,1,1,0,1,0,0
5755,6,1,309,4,6,1866,0,0,0,0,1,1,0,0,1,0,0,1,0
9227,3,1,132,3,5,5978,0,0,0,0,1,0,0,1,1,0,0,0,1
10903,3,5,241,4,9,5526,0,0,0,0,1,0,0,1,1,0,0,1,0
8077,4,4,155,4,10,5483,0,0,0,0,1,0,1,0,1,0,0,1,0
6321,4,3,208,2,4,4767,0,1,0,0,0,0,0,1,1,0,0,0,1
2385,4,3,135,2,53,1073,0,1,0,0,0,0,0,1,1,0,0,0,1
6132,3,3,208,5,10,4258,0,0,0,1,0,0,0,1,1,0,0,1,0
5233,3,5,221,10,7,5743,0,0,0,0,1,0,0,1,1,0,0,0,1
2914,4,4,207,2,14,2945,0,0,1,0,0,0,0,1,1,0,0,0,1
3551,6,1,163,4,3,4031,0,0,0,0,1,0,1,0,0,1,1,0,0
2318,5,2,187,2,29,2863,1,0,0,0,0,0,1,0,1,0,0,0,1
416,4,3,159,3,33,1330,1,0,0,0,0,1,0,0,0,1,0,1,0
96,3,3,149,2,18,1225,0,0,0,1,0,0,0,1,0,1,0,0,1
7605,3,1,236,3,2,4298,0,1,0,0,0,0,0,1,0,1,0,1,0
5853,6,1,185,4,10,5254,0,1,0,0,0,0,0,1,1,0,1,0,0
6043,6,2,250,4,3,1777,0,0,0,0,1,1,0,0,1,0,0,0,1
741,7,4,192,3,33,1694,0,1,0,0,0,0,0,1,1,0,0,1,0
9586,4,5,265,2,9,5040,0,0,1,0,0,1,0,0,0,1,0,1,0
4957,6,4,151,3,10,5414,0,0,0,0,1,0,0,1,1,0,0,1,0
4050,3,3,229,7,4,5075,0,0,0,1,0,0,0,1,1,0,1,0,0
10630,3,2,208,2,6,5344,0,0,1,0,0,0,0,1,1,0,0,1,0
10643,2,4,258,3,3,4811,0,0,0,0,1,0,0,1,0,1,0,0,1
5602,4,2,233,3,3,5740,0,0,1,0,0,0,1,0,1,0,0,1,0
9101,5,3,223,5,4,1817,0,0,0,0,1,0,0,1,0,1,0,0,1
262,3,1,294,4,52,1089,0,0,1,0,0,0,1,0,1,0,0,1,0
6674,3,3,253,3,5,4754,1,0,0,0,0,0,0,1,0,1,0,0,1
4907,3,4,200,2,6,4751,0,0,0,0,1,0,1,0,1,0,0,0,1
9391,4,4,253,3,4,5236,0,0,0,0,1,0,0,1,1,0,0,0,1
5341,3,2,151,3,7,5154,0,0,0,0,1,1,0,0,1,0,0,1,0
5919,3,3,149,3,6,4654,0,1,0,0,0,0,0,1,0,1,0,1,0
10543,3,5,158,3,10,4861,0,0,0,0,1,0,1,0,0,1,0,1,0
1544,3,5,175,2,59,1051,1,0,0,0,0,0,0,1,0,1,0,1,0
4501,4,2,173,2,2,5327,0,0,0,0,1,0,1,0,0,1,0,0,1
24,4,5,251,2,28,3561,0,0,0,1,0,0,0,1,1,0,0,0,1
689,3,5,138,3,37,1266,0,0,0,0,1,1,0,0,1,0,0,1,0
3434,4,3,267,4,7,5140,1,0,0,0,0,1,0,0,0,1,0,1,0
5617,5,4,281,3,10,5675,0,0,0,0,1,1,0,0,1,0,0,1,0
3266,3,1,216,4,4,4416,1,0,0,0,0,0,1,0,1,0,0,0,1
9547,3,2,153,4,7,4750,0,0,0,0,1,0,0,1,0,1,1,0,0
2493,4,5,151,3,31,1365,0,1,0,0,0,0,0,1,1,0,1,0,0
2269,4,1,229,3,53,3423,0,0,0,0,1,0,0,1,1,0,0,0,1
260,2,5,159,3,49,1621,1,0,0,0,0,0,1,0,1,0,0,1,0
9488,3,3,203,3,4,5548,1,0,0,0,0,0,0,1,1,0,0,0,1
3982,3,2,224,3,1,5343,0,0,1,0,0,1,0,0,0,1,0,0,1
10973,5,2,240,5,7,1923,0,0,0,0,1,1,0,0,1,0,0,1,0
6446,3,1,154,2,10,5594,1,0,0,0,0,1,0,0,1,0,0,1,0
2388,4,5,147,2,19,1940,0,0,0,1,0,0,0,1,1,0,0,0,1
2329,4,2,192,4,61,2256,0,0,0,0,1,1,0,0,1,0,0,1,0
6281,6,4,287,4,9,1936,0,0,0,0,1,0,1,0,1,0,0,0,1
1338,3,3,144,3,1,1274,0,0,0,1,0,0,0,1,0,1,0,1,0
10135,4,1,196,3,9,5216,0,0,0,0,1,1,0,0,1,0,0,0,1
8335,5,4,236,5,2,1664,0,0,0,0,1,0,1,0,1,0,0,0,1
8353,6,1,272,4,2,1018,0,0,0,0,1,1,0,0,1,0,0,1,0
4753,6,2,247,4,10,1556,0,0,0,0,1,0,0,1,0,1,0,1,0
7381,6,4,240,3,9,4986,0,0,0,0,1,0,1,0,1,0,0,1,0
6736,5,2,214,2,10,5192,0,0,1,0,0,0,0,1,1,0,0,1,0
2100,3,1,172,10,30,1294,0,0,0,1,0,0,0,1,1,0,1,0,0
8961,6,4,257,6,7,4265,0,1,0,0,0,0,0,1,1,0,0,1,0
7841,2,2,201,3,2,4865,0,0,0,0,1,0,0,1,0,1,1,0,0
1487,6,1,219,6,10,2385,0,0,0,0,1,0,1,0,1,0,0,1,0
7016,6,1,103,4,2,5089,1,0,0,0,0,0,0,1,0,1,0,1,0
7753,6,1,284,4,7,1153,0,0,0,0,1,0,0,1,1,0,0,1,0
10568,4,4,233,3,5,5421,1,0,0,0,0,0,0,1,1,0,0,1,0
9624,6,3,244,5,1,1847,0,0,0,1,0,0,0,1,1,0,0,0,1
758,2,5,192,6,41,2673,1,0,0,0,0,0,0,1,1,0,0,1,0
3357,3,3,211,6,5,5777,0,1,0,0,0,0,0,1,0,1,0,1,0
1171,3,1,251,3,18,2240,0,0,0,0,1,0,0,1,1,0,0,0,1
1859,2,5,170,8,14,1396,0,0,0,0,1,0,0,1,0,1,0,1,0
6163,5,4,211,3,7,4856,0,0,0,0,1,1,0,0,1,0,0,0,1
8272,7,4,290,4,10,1886,0,0,1,0,0,0,0,1,1,0,0,1,0
1583,5,5,214,3,31,2033,0,0,0,0,1,0,0,1,1,0,0,1,0
601,3,4,145,3,44,1218,0,0,0,0,1,0,0,1,0,1,0,0,1
1601,4,1,244,3,59,3073,0,0,0,0,1,0,0,1,0,1,0,1,0
5357,4,5,183,2,2,4533,0,0,0,0,1,1,0,0,1,0,0,0,1
8825,2,1,258,5,10,1221,0,0,0,0,1,0,0,1,0,1,0,1,0
10241,4,3,257,3,8,5944,0,0,0,0,1,0,0,1,0,1,0,1,0
7862,5,1,132,4,4,5461,1,0,0,0,0,0,0,1,1,0,0,0,1
8485,5,1,145,3,5,5019,0,0,0,0,1,0,1,0,1,0,0,1,0
927,3,3,179,2,60,1808,0,1,0,0,0,0,0,1,1,0,0,1,0
9239,4,2,217,2,8,4907,0,0,0,0,1,0,0,1,1,0,0,0,1
10360,4,3,189,3,9,4825,0,0,1,0,0,0,0,1,1,0,0,0,1
3569,3,4,118,4,6,5964,0,0,0,0,1,1,0,0,0,1,0,1,0
1692,4,4,212,4,2,3830,0,0,0,1,0,0,0,1,1,0,0,0,1
8904,6,4,270,4,10,1698,0,0,0,1,0,1,0,0,1,0,0,1,0
5173,3,3,211,3,7,5185,0,0,0,0,1,0,0,1,0,1,0,0,1
1772,5,3,204,2,40,2181,1,0,0,0,0,0,1,0,0,1,0,1,0
8741,3,4,226,2,8,5793,0,0,0,0,1,0,1,0,1,0,1,0,0
10401,4,2,187,3,5,4897,0,1,0,0,0,0,1,0,1,0,1,0,0
6800,3,2,158,7,10,4244,1,0,0,0,0,0,0,1,0,1,0,0,1
7554,5,5,203,5,1,5356,0,0,0,1,0,0,0,1,0,1,0,0,1
8941,4,4,270,2,6,5221,0,0,0,0,1,0,0,1,1,0,0,0,1
9644,4,1,256,3,6,5818,1,0,0,0,0,0,0,1,0,1,0,1,0
10534,5,1,152,3,3,5981,0,0,1,0,0,0,1,0,1,0,0,0,1
535,4,4,177,4,32,1774,0,0,0,0,1,0,1,0,1,0,0,0,1
5818,5,5,273,4,7,4064,0,0,1,0,0,0,0,1,0,1,0,1,0
10545,5,1,202,4,2,5748,0,1,0,0,0,1,0,0,1,0,0,1,0
3088,4,2,218,2,1,2990,0,0,1,0,0,0,0,1,0,1,1,0,0
9097,4,2,231,5,8,1562,0,0,0,0,1,0,0,1,0,1,0,0,1
7171,6,4,250,4,3,1490,0,0,0,0,1,0,0,1,0,1,0,1,0
429,5,1,205,2,27,3569,0,1,0,0,0,0,0,1,0,1,0,0,1
7051,3,5,222,5,2,4027,0,0,0,0,1,0,0,1,0,1,0,0,1
2753,3,5,245,4,4,2769,0,0,0,0,1,1,0,0,0,1,0,0,1
8425,3,1,195,3,3,5961,0,0,0,0,1,0,0,1,1,0,0,0,1
